Country,Code,Year,Daily smoking prevalence(2012),Longitude,Latitude
Afghanistan,AFG,2010,11.9,65,33
Albania,ALB,2010,19.799999,20,41
Algeria,DZA,2010,10.9,3,28
Andorra,AND,2010,26.700001,1.6,42.5
Angola,AGO,2010,8.8000002,18.5,-12.5
Antigua and Barbuda,ATG,2010,3.4000001,-61.8,17.05
Argentina,ARG,2010,20.5,-64,-34
Armenia,ARM,2010,26.4,45,40
Australia,AUS,2010,16.4,133,-27
Austria,AUT,2010,29.200001,13.3333,47.3333
Azerbaijan,AZE,2010,21.9,47.5,40.5
Bahamas,BHS,2010,10,-76,24.25
Bahrain,BHR,2010,19,50.55,26
Bangladesh,BGD,2010,22.5,90,24
Barbados,BRB,2010,6.0999999,-59.5333,13.1667
Belarus,BLR,2010,25.5,28,53
Belgium,BEL,2010,26.1,4,50.8333
Belize,BLZ,2010,8.6999998,-88.75,17.25
Benin,BEN,2010,7.6999998,2.25,9.5
Bhutan,BTN,2010,11,90.5,27.5
Bolivia,BOL,2010,24.5,-65,-17
Bosnia and Herzegovina,BIH,2010,31.700001,18,44
Botswana,BWA,2010,13.5,24,-22
Brazil,BRA,2010,14.2,-55,-10
Brunei,BRN,2010,11.5,114.6667,4.5
Bulgaria,BGR,2010,34.900002,25,43
Burkina Faso,BFA,2010,10.5,-2,13
Burundi,BDI,2010,13.3,30,-3.5
Cambodia,KHM,2010,19.299999,105,13
Cameroon,CMR,2010,7,12,6
Canada,CAN,2010,14.9,-95,60
Cape Verde,CPV,2010,6.5,-24,16
Central African Republic,CAF,2010,8.3999996,21,7
Chad,TCD,2010,7,19,15
Chile,CHL,2010,28.4,-71,-30
China,CHN,2010,24.200001,105,35
Colombia,COL,2010,11.2,-72,4
Comoros,COM,2010,10.6,44.25,-12.1667
Congo,COG,2010,8.6999998,15,-1
Costa Rica,CRI,2010,12.2,-84,10
Cote d'Ivoire,CIV,2010,9.8999996,-5,8
Croatia,HRV,2010,28,15.5,45.1667
Cuba,CUB,2010,16.700001,-80,21.5
Cyprus,CYP,2010,30.9,33,35
Czechia,CZE,2010,23.799999,15.5,49.75
Democratic Republic of Congo,COD,2010,7.9000001,25,0
Denmark,DNK,2010,19.9,10,56
Djibouti,DJI,2010,21.200001,43,11.5
Dominica,DMA,2010,5.5,-61.3333,15.4167
Dominican Republic,DOM,2010,10.9,-70.6667,19
Ecuador,ECU,2010,6.1999998,-77.5,-2
Egypt,EGY,2010,17.6,30,27
El Salvador,SLV,2010,9.1000004,-88.9167,13.8333
Equatorial Guinea,GNQ,2010,9.3000002,10,2
Eritrea,ERI,2010,5.8000002,39,15
Estonia,EST,2010,26.799999,26,59
Eswatini,SWZ,2010,7,31.5,-26.5
Ethiopia,ETH,2010,3.7,38,8
Fiji,FJI,2010,14.3,175,-18
Finland,FIN,2010,16.6,26,64
France,FRA,2010,27,2,46
Gabon,GAB,2010,10.8,11.75,-1
Gambia,GMB,2010,12.2,-16.5667,13.4667
Georgia,GEO,2010,22.6,43.5,42
Germany,DEU,2010,22.700001,9,51
Ghana,GHA,2010,3.8,-2,8
Greece,GRC,2010,37.299999,22,39
Grenada,GRD,2010,9.3000002,-61.6667,12.1167
Guatemala,GTM,2010,6.3000002,-90.25,15.5
Guinea,GIN,2010,6.3000002,-10,11
Guinea-Bissau,GNB,2010,6.5999999,-15,12
Guyana,GUY,2010,15,-59,5
Haiti,HTI,2010,7.3000002,-72.4167,19
Honduras,HND,2010,11.3,-86.5,15
Hungary,HUN,2010,28.4,20,47
Iceland,ISL,2010,15.4,-18,65
India,IND,2010,12.6,77,20
Indonesia,IDN,2010,29.6,120,-5
Iran,IRN,2010,11.8,53,32
Iraq,IRQ,2010,16.299999,44,33
Ireland,IRL,2010,24,-8,53
Israel,ISR,2010,19.4,34.75,31.5
Italy,ITA,2010,22.200001,12.8333,42.8333
Jamaica,JAM,2010,14.6,-77.5,18.25
Japan,JPN,2010,22,138,36
Jordan,JOR,2010,25.6,36,31
Kazakhstan,KAZ,2010,24,68,48
Kenya,KEN,2010,9.3000002,38,1
Kiribati,KIR,2010,41.200001,173,1.4167
Kuwait,KWT,2010,24,47.6581,29.3375
Kyrgyzstan,KGZ,2010,18.1,75,41
Laos,LAO,2010,27.4,105,18
Latvia,LVA,2010,29.5,25,57
Lebanon,LBN,2010,26.6,35.8333,33.8333
Lesotho,LSO,2010,16.6,28.5,-29.5
Liberia,LBR,2010,6.5,-9.5,6.5
Libya,LBY,2010,15.7,17,25
Lithuania,LTU,2010,25.9,24,56
Luxembourg,LUX,2010,25.1,6.1667,49.75
Madagascar,MDG,2010,13.6,47,-20
Malawi,MWI,2010,9.6999998,34,-13.5
Malaysia,MYS,2010,18.9,112.5,2.5
Maldives,MDV,2010,19.799999,73,3.25
Mali,MLI,2010,10.3,-4,17
Malta,MLT,2010,21.799999,14.5833,35.8333
Marshall Islands,MHL,2010,17.799999,168,9
Mauritania,MRT,2010,12.9,-12,20
Mauritius,MUS,2010,17.9,57.55,-20.2833
Mexico,MEX,2010,9.5,-102,23
Micronesia,,2010,24.299999,0,0
Moldova,MDA,2010,19.4,29,47
Mongolia,MNG,2010,24.6,105,46
Montenegro,MNE,2010,26.700001,19,42
Morocco,MAR,2010,13.4,-5,32
Mozambique,MOZ,2010,11.1,35,-18.25
Myanmar,MMR,2010,17.5,98,22
Namibia,NAM,2010,14.4,17,-22
Nepal,NPL,2010,24.200001,84,28
Netherlands,NLD,2010,21,5.75,52.5
New Zealand,NZL,2010,16.799999,174,-41
Nicaragua,NIC,2010,10.7,-85,13
Niger,NER,2010,4.9000001,8,16
Nigeria,NGA,2010,4.0999999,8,10
North Korea,PRK,2010,23.799999,127,40
North Macedonia,MKD,2010,36.799999,22,41.8333
Norway,NOR,2010,17.5,10,62
Oman,OMN,2010,8.3999996,57,21
Pakistan,PAK,2010,15.7,70,30
Palestine,PSE,2010,20.799999,35.25,32
Panama,PAN,2010,8.1999998,-80,9
Papua New Guinea,PNG,2010,38.200001,147,-6
Paraguay,PRY,2010,11.7,-58,-23
Peru,PER,2010,11.1,-76,-10
Philippines,PHL,2010,22.5,122,13
Poland,POL,2010,27.9,20,52
Portugal,PRT,2010,21.799999,-8,39.5
Qatar,QAT,2010,18.1,51.25,25.5
Romania,ROU,2010,26.6,25,46
Russia,RUS,2010,31.5,100,60
Rwanda,RWA,2010,8,30,-2
Saint Lucia,LCA,2010,10.2,-61.1333,13.8833
Saint Vincent and the Grenadines,VCT,2010,9,-61.2,13.25
Samoa,WSM,2010,22.4,-172.3333,-13.5833
Sao Tome and Principe,STP,2010,3.2,7,1
Saudi Arabia,SAU,2010,14.6,45,25
Senegal,SEN,2010,7.0999999,-14,14
Serbia,SRB,2010,27,21,44
Seychelles,SYC,2010,15.9,55.6667,-4.5833
Sierra Leone,SLE,2010,17.6,-11.5,8.5
Singapore,SGP,2010,13.2,103.8,1.3667
Slovakia,SVK,2010,22.1,19.5,48.6667
Slovenia,SVN,2010,22,15,46
Solomon Islands,SLB,2010,26.799999,159,-8
Somalia,SOM,2010,9.6999998,49,10
South Africa,ZAF,2010,14.6,24,-29
South Korea,KOR,2010,24.4,127.5,37
Spain,ESP,2010,25,-4,40
Sri Lanka,LKA,2010,11.8,81,7
Sudan,SDN,2010,5.5999999,30,15
Suriname,SUR,2010,6.1999998,-56,4
Sweden,SWE,2010,13,15,62
Switzerland,CHE,2010,19.6,8,47
Syria,SYR,2010,17.200001,38,35
Taiwan,TWN,2010,17.5,121,23.5
Tajikistan,TJK,2010,15.6,71,39
Tanzania,TZA,2010,9.5,35,-6
Thailand,THA,2010,19.5,100,15
Timor,TLS,2010,30.1,125.5167,-8.55
Togo,TGO,2010,6.0999999,1.1667,8
Tonga,TON,2010,34.299999,-175,-20
Trinidad and Tobago,TTO,2010,17.200001,-61,11
Tunisia,TUN,2010,24.299999,9,34
Turkey,TUR,2010,27.5,35,39
Turkmenistan,TKM,2010,19.799999,60,40
Uganda,UGA,2010,8.1000004,32,1
Ukraine,UKR,2010,26.799999,32,49
United Arab Emirates,ARE,2010,15.3,54,24
United Kingdom,GBR,2010,20.4,-2,54
United States,USA,2010,15.9,-97,38
Uruguay,URY,2010,22.200001,-56,-33
Uzbekistan,UZB,2010,10.8,64,41
Vanuatu,VUT,2010,17.1,167,-16
Venezuela,VEN,2010,16.4,-66,8
Vietnam,VNM,2010,20.200001,106,16
World,OWID_WRL,2010,18.6,0,0
Yemen,YEM,2010,13.7,48,15
Zambia,ZMB,2010,11.3,30,-15
Zimbabwe,ZWE,2010,11.2,30,-20
